,title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags
1458,"American, United Statian, USAmerican, or Gringo?","One of two articles in the ""From the Culture of Borders to Border Cultures"" issue of AmeriQuests journal. From AmeriQuests: ""The text discusses the use of the word 'American' when referring to people from, or citizens of, the United States of America. The fact that the citizens of the United States call themselves 'Americans' causes discomfort for many Latin Americans, who see the appropriation of the collective identity of all peoples and countries of the Western Hemisphere as a clear act of cultural imperialism. The article discusses the historic origins and the consolidation of the use of 'American' in this restricted sense.""","Santos, Luis Claudio Villafane G.",Full text,,2005,,en,http://creativecommons.org/licenses/by/3.0/,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/56906981"">56906981</a>",15th century - 21st century; United States; North America; South America,,,,,,,,,,,,,,1553-4316,,1,AmeriQuests,http://ejournals.library.vanderbilt.edu/ojs/index.php/ameriquests/issue/view/2  http://creativecommons.org/licenses/by/3.0/,2,,,,,Acculturation and Assimilation;Argentina;Brazil;Colombia;Ethnicity and Collective Identity;Europe;Government and Politics;Language and Linguistics;Latin America;Nonfiction;Nonfiction -- Ethnic Studies;Paraguay;Peru;United States;Uruguay;War
1459,La charrue,"PoeÌsies d'un ecrivaine acadienne, dans l'espirit de ""renaissance littÃ©raire en Louisiane franÃ§aise."" IllustrÃ© par dessins noirs et blancs. Avec introduction historique et critique par MathÃ© Allain.","Doucet, Carol J. ",,"Center for Louisiana Studies, University of Southwestern Louisiana",1982,,FranÃ§ais,,,,Book,"<a href=""http://www.worldcat.org/oclc/8930256"">8930256</a>",,,,,,,,,,,,25,"Lafayette, Louisiana",,,0940984032,,,http://ulpress.org/  La charrue @ Google Books,,,,,https://francolibrary.com/archive/files/0bbdc8f665cfe7aed24f8a90b55082ed.jpg,Acadians;Community: Customs and Social Life;Ethnicity and Collective Identity;Farming and Agriculture;Literary Works -- Poetry;Louisiana;Poetry
1460,The Loon's Nest,Book of poems and one prose piece largely centered on family and memory. From a native of northern Maine.,"Albert, Julie D. ",,Self-published,1991,,English,,,,Book,,,,,,,,,,,,,61,,Self-published,,,,,,,,,,https://francolibrary.com/archive/files/e5fd7da93357f0ec0ef134af9fb7615f.jpg,Death and Disaster;Family;Literary Works -- Poetry;Maine;Poetry;Religion
1461,Growing Up Is A Full-Time Job : Stories for Young Readers,"Four short stories written for kids of all ages by ""story-maker and story-teller"" Michael Parent of Lewiston, Maine. Includes the titles, ""Tunko the Terrible Giant,"" ""The Princess' Ailment,"" ""Angela the Mud Girl,"" and ""A Blink and a Wink.""","Parent, Michael ",,Self-published,Unknown,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/43722227"">43722227</a>",,,,,,,,,,,,44,,Self-published,,,,,http://michaelparentstorytelling.com/  Growing Up Is A Full-Time Job @ Google Books,,,,,https://francolibrary.com/archive/files/3216f74348ca01326302173d3518d75e.jpg,Children's Literature;Family;Fiction and Literature;Literary Works -- Children's Literature;Literary Works -- Fiction;Music;Sports and Leisure;Youth
1462,Treasured Family Recipes : Past and Present,"A cookbook both traditional and modern. A collection of recipes from three generations of French Canadian and Acadian cooks. Includes an introduction by the author. Written in Madawaska, Maine, and shared with the Upper St. John Valley. Printed by the fundraising publisher Morris Press, with a portion of cookbook sales dedicated to the Edgar J. (Guy) Paradis Cancer Fund.","Charette, Theresa ",,Morris Press Cookbooks,2005,,English,,,,Book,,,,,,,,,,,,,113,"Kearney, Nebraska",Morris Press Cookbooks,,,,,http://www.morriscookbooks.com,,,,,https://francolibrary.com/archive/files/61c9b6f9b26966462b3b0756f83b84bf.jpg,Family;Food;Madawaska ME;Maine;St. John River Valley
1463,Evangeline,"A short story unpublished in his lifetime, William Faulkner's ""Evangeline"" was written in 1931. Later included in Joseph Blotner's ""Uncollected Stories of William Faulkner"" in 1979, printed by the Atlantic monthly in that same year. Its premise, a writer prying into the history of the Mississippi Sutpen homestead and all its tumult, became a major part of the foundation of Faulkner's later novel, ""Absalom! Absalom!"" (1936).","Faulkner, William ",,,1979 November,,English,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/2445096"">2445096</a>",,,,,,,,,,,,,,,0004-6795,,5,The Atlantic,"http://www.theatlantic.com  ""Evangeline"" in The Short Story and Photography, 1880's-1980's: A Critical Anthology, by Jane Marjorie Rabb @ Google Books (preview available)",244,,,,https://francolibrary.com/archive/files/747add8282eb119516f242eb58e545bf.jpg,Ethnicity and Collective Identity;Family;Fiction and Literature;Literary Works -- Fiction;Literary Works -- Short fiction;Mississippi;Violence;War
1464,"Evangeline Resource List : A Selected Bibliography, Discography, and Filmography","A list of resources relative to the epic poem ""Evangeline"" by Henry Wadsworth Longfellow, compiled by the director of the Acadian Archives at the University of Maine at Fort Kent. Contains listings of different published editions of the poem, criticism and interpretations of it, and other writings or art (sculpture, painting, film, music) informed by the poem and its history.","Ornstein, Lisa",,,1997,,FranÃ§ais,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/33064369"">33064369</a>",,,,,,,,,,,,,,,1521-6977,,,The River Review / La Revue riviÃ¨re,http://riverreview.umfk.maine.edu/,3,,,,https://francolibrary.com/archive/files/fcd0702c73068305876ee6c69892af93.jpg,Acadians;Art and Architecture;Bibliography;Children's Literature;Fiction and Literature;Film and Television;Music;North America;Poetry
1465,"Cultural Face-Off : Yankees, British, and the St. John Valley French","Comparison of descriptions of the Upper St. John River Valley and its people as found in the travelogues of British voyagers, the official reports of American agents, and the accounts of Canadian historians at the beginning of the nineteenth century. Descriptive distinctions between ""Acadian"" and ""French Canadian."" The impact of outsider-written characterizations of the St. John Valley area on general perceptions of its residents, on conceptions of the Acadians, and on American attitudes toward the British. The challenges of American officials wanting to integrate the St. John Valley French border population into the laws and customs of the United States, and the realization of these frustrations in political and journalistic description. ","Craig, BeÌatrice ",,,1997,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/33064369"">33064369</a>","19th century; St. John River Valley, Maine",,,,,,,,,,,,,,1521-6977,,,The River Review / La Revue riviÃ¨re,http://riverreview.umfk.maine.edu/,3,,,,,Acadians;Canada;Ethnicity and Collective Identity;Farming and Agriculture;Great Britain;Madawaska ME;Maine;Nonfiction;Nonfiction -- History -- Local;Nonfiction -- Travel and Tourism;QuÃ©bec;St. John River Valley;Travel and Movement;United States
1466,Histoire et fiction : l'heÌritage d'un communauteÌ,"Un eÌssai sur l'idÃ©e de l'histoire comme agent contre l'assimilation - ""de quelle facon les faits historiques et sociaux sont utiliseÌs pour eÌveiller [le] sentiment neÌcessaire a la survie d'un peuple, d'une ethnie."" Une analyse socio-historique du roman, ""L'HeÌritage,"" par Robert B. Perreault, et l'impact du discours heÌritage culturel sur la comprÃ©hension de nos contextes historiques.","Lavoie, Carlo ",,,1997,,FranÃ§ais,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/33064369"">33064369</a>","20e siÃ¨cle, Manchester, New Hampshire",,,,,,,,,,,,,,1521-6977,,,The River Review / La Revue riviÃ¨re,http://riverreview.umfk.maine.edu/,3,,,,https://francolibrary.com/archive/files/dd0ca1cb5cde369db70c74e55a57f265.jpg,Community: Customs and Social Life;Criticism and Review;Ethnicity and Collective Identity;Fiction and Literature;Language and Linguistics;Literary Works -- Criticism and History;Manchester NH
1467,"Agriculture et marchÃ© au Madawaska, 1799-1850","Une histoire de l'économie de Madawaska entre 1799 et 1850, et un question de l'éxistence d'une vie de subsistance ou d'un dépendance de circuits commerciaux dans cette époche.  Du texte: ""Les zones de colonisation passent pour avior été pauvres et limitées aux cultures de subsistance. Distances et mauvais moyens de communication les auraient coupées des marchés. Le Madawaska ne fait pas exception a cette régle, et les historiens décrivent ses débuts comme difficiles, mais le Madawaska fait mentir le stéréotype: son agriculture fut très tot prospère et commercial.""  From the text: ""The areas of colonization have been thought of as being poor and limited to those cultures based solely on subsistence. Long distances and poorly developed means of communication supposedly cut off many local economies. Madawaska was no exception to this rule, and its historians describe its economic beginnings as being difficult, but Madawaska also belies the stereotype: the bulk of its early agricultural economy flourished and was highly marketable.""","Craig, BÃ©atrice",,,1995,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/33064369"">33064369</a>","1799-1850, Madawaska, Maine, New Brunswick",,,,,,,,,,,,,,1521-6977,,,The River Review / La Revue riviÃ¨re,http://riverreview.umfk.maine.edu/,1,,,,https://francolibrary.com/archive/files/7eeaa993bc0dcb6b28561ebb2cf5b21d.jpg,Acadians;Aroostook County ME;Business and Economics;Community: Customs and Social Life;Farming and Agriculture;Forestry;Madawaska ME;Maine;New Brunswick;Nonfiction;Nonfiction -- History -- Economic and Industrial;St. John River Valley
1468,Into the Heart of Maine : A Look at Dexter's Franco-American Community,"The history of French Canadian immigration and Franco American community building in the town of Dexter, Maine. Illustrated with photos and quotes from oral interviews. From the text: ""The study of French-Canadian immigration is generally centered around New England's larger cities; small towns receiving migrants are usually overlooked. This article examines the French-Canadian population in one such rural town. Dexter, Maine, serves as a microcosm of larger 'petits canadas' throughout New England, but it also projects a different type of ethnic experience. Dorothy A. Blanchard discusses the rewards and the hardships of the Franco experence in rural Maine.""","Blanchard, Dorothy A.",,,1993 Spring,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/2263768"">2263768</a>;<a href=""http://www.worldcat.org/oclc/607696548"">607696548</a>","19th century - 20th century; Dexter, Maine",,,,,,,,,,,,,,0163-1152,,1,Maine Historical Society Quarterly,http://www.mainehistory.org/,33,,,,https://francolibrary.com/archive/files/58eb3ac047e38a901080de0e95cc054f.jpg,Acculturation and Assimilation;Community: Customs and Social Life;Demography;Dexter ME;Education;Emigration and Immigration;Ethnicity and Collective Identity;Family;Farming and Agriculture;Gender and Sexuality;Irish Americans;Labor History;Language and Linguistics;Maine;Mills and Mill Work;Nonfiction;Nonfiction -- History -- Local;QuÃ©bec;Religion;Sebasticook River Valley;Sports and Leisure;Violence
1469,Rudy VallÃ©e : Franco-American and Man from Maine,"Biographical sketch of Hubert Prior VallÃ©e - a.k.a., Rudy VallÃ©e - from a young man in Westbrook and Orono, Maine, to the iconic Hollywood crooner of American film and radio,  consistently true to the origins to which he ultimately returned. Also includes a history of the University of Maine ""Stein Song,"" the popularity of which can be attributed in part to VallÃ©e.","Doty, C. Stewart ",,,1993 Spring,,English,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/2263768"">2263768</a>;<a href=""http://www.worldcat.org/oclc/607696548"">607696548</a>","Early 20th century, Maine",,,,,,,,,,,,,,0163-1152,,1,Maine Historical Society Quarterly,http://www.mainehistory.org/,33,,,,https://francolibrary.com/archive/files/06736b983ddccd26ca5b96c2e020cca4.jpg,Acculturation and Assimilation;Family;Island Pond VT;Kezar Lake ME;Maine;Music;New York NY;Orono ME;Portland ME;QuÃ©bec;Rumford ME;War;Westbrook ME
1470,A Century of Acadian Culture : The Development of a Cajun Community : Erath (1899-1999),"History of the community of Erath, Louisiana, in the twentieth century. Introduced by a brief account of the Acadian exile in 1755. Contains snapshots of the town's economic and political development; the social life, religion, and education of its largely Cajun community; and the cultural presence and state of the town at the beginning of the twenty-first century. Erath as an historical and continuing center of Acadian and Cajun heritage in Louisiana. Contains 12 appendices regarding local officials, cultural advocacy, and Erath's Acadian Museum - from which this text was helped produced. Illustrated with photographs in black and white.","Dronet, Curney J.",Preview,Acadian Heritage and Culture Foundation,2000,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/45015911"">45015911</a>","1899-1999; Erath, Louisiana",,,,,,,,,,,276,"Erath, Louisiana",Acadian Heritage and Culture Foundation,,,,,A Century of Acadian Culture... @ Google Books,,,,,https://francolibrary.com/archive/files/73efb9f2691a5ebc66c43b6ae07c8e0c.jpg,Acadians;Business and Economics;Cajuns;Community: Customs and Social Life;Erath LA;Ethnicity and Collective Identity;Folklore;Government and Politics;Labor History;Louisiana;Nonfiction;Nonfiction -- History -- Local;Nova Scotia;Religion;Social History
1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,The Cajuns : Americanization of a People,"A history of twentieth-century Southern Louisiana by way of an exploration of the processes of assimilation experienced its people of French and Acadian heritage. Descripions of the transformations of Louisiana Cajuns and Cajun culture, as well as reactions to these transformations. Chapters devoted to the World War II era, Cold War era,1960s, ethnic revivals in the 1970s, and the cultural productions of the 1980s and 1990s. From University Press of Mississippi: ""The past sixty years have shaped and reshaped the group of French-speaking Louisiana people known as the Cajuns. During this period they have become much like other Americans and yet have remained strikingly distinct. 'The Cajuns: Americanization of a People' explores these six decades and analyzes the forces that had an impact on Louisiana's Acadiana.""","Bernard, Shane",,University Press of Mississippi,2003,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/49618900"">49618900</a>",1941-2001; Louisiana,,,,,,,,,,,196,"Jackson, Mississippi",,,9781578065226,,,http://www.upress.state.ms.us/books/91  The Cajuns @ Google Books,,,,,https://francolibrary.com/archive/files/643f07be56595ef87e9273c8f7b32ec1.jpg,Abbeville LA;Acadiana LA;Acadians;Acculturation and Assimilation;Art and Architecture;Ascension Parish LA;Baton Rouge LA;Calcasieu Parish LA;Canada;Ethnicity and Collective Identity;France;Government and Politics;Lafayette Parish LA;Lake Charles LA;Language and Linguistics;Louisiana;Music;New Orleans LA;Nonfiction;Nonfiction -- Ethnic Studies;Nova Scotia;Pointe CoupeÌe Parish LA;Religion;St. Landry Parish LA;St. Martin Parish LA;St. Martinville LA;Vermilion Parish LA;Ville Platte LA
1473,"Pas de gÃªne : L'histoire d'Omer Marcoux, violoneux et sculpteur","Une histoire de la vie artistique et communautaire d'un homme franco-amÃ©ricain de New Hampshire. RacontÃ©e par lui-mÃªme, M. Marcoux - bÃ»cheron, sculpteur, musicien, ami - comme vu dans les contes qui se prÃ©sentent dans ses entrevues avec l'Ã©crivain du texte. 10 chapitres, illustrÃ©e par photos et dessins en noir et blanc.  Traductions de quelques phrases idiomatiques.","Olivier, Julien",,National Materials Development Center for French,1981,"Pomeroy, Paul (photos);Perron, ThÃ©rÃ¨se (dessins)",FranÃ§ais,,,,Book,"<a href=""http://www.worldcat.org/oclc/9185697"">9185697</a>","1900-1981, Maine, New Hampshire, QuÃ©bec",,,,,,,,,,,94,"Bedford, New Hampshire",,,,,,Pas de gêne @ Google Books,,,,,https://francolibrary.com/archive/files/a7dc8fd8cea3d12dbd068981d33ef5e1.jpg,Art and Architecture;Community: Customs and Social Life;Concord NH;Emigration and Immigration;Family;Folklore;Jackman ME;Merrimack River Valley;Music;New Hampshire;Personal History: Biography and Oral History;QuÃ©bec;Religion
1474,Le mouvement Sentinelliste : reÌflexions sur un probleÌ€me de survivance,"Une theÌ€se maitrise sur le mouvement Sentinelliste: une grande reÌaction journalistique aux droits linguistiques et reÌligieuses d'une dioceÌ€se catholique dans le Rhode Island, et dans les eÌglises du sud de la Nouvelle-Angleterre au dÃ©but du 20e siÃ¨cle. La reÌlation entre l'eÌglise catholique ameÌricaine, l'eÌglise catholique queÌbeÌcoise, et le pont de Rome. Certains dÃ©fis rÃ©ligieuses Ã  la cause de la survivance franco-amÃ©ricaine.","Lalande, Jean-Guy ",,,1971,,fr,,,,,"<a href=""http://www.worldcat.org/oclc/77266349"">77266349</a>",20e siÃ¨cle; Rhode Island,,,,,,,,,,,161,"QueÌbec City, QueÌbec",,,,,,Le mouvement Sentinelliste... @ l'Université Laval;Le mouvement Sentinelliste... sur Google Books,,,,,https://francolibrary.com/archive/files/7a56c7417e5194549567bb246e3fd8c9.jpg,Education;Ethnicity and Collective Identity;Journalism;Language and Linguistics;Manchester NH;Nonfiction;Nonfiction -- History -- Religion;Nonfiction -- Journalism;Providence RI;QuÃ©bec;Religion;Rhode Island;Rome (Italy);Woonsocket RI
1475,Le Canada francÌ§ais et le roman ameÌricain (1826-1948),"Les reÌlations culturelles entre le QueÌbec, les canadiens franÃ§ais, et la litteÌrature ameÌricaine tel qu'ils apparaissent dans le roman ameÌricain. Les impressions amÃ©ricaines populaires de ces romans sur des perceptions du Canada francÌ§ais. L'histoire de cet impact entre 1826 et 1948 - vers la peÌriode de la grande migration des canadiens francÌ§ais aux Ã‰tats-Unis.","Gauthier, Joseph Delphis ",,,1948,,fr,,,,Thesis/Dissertation,"<a href=""http://www.worldcat.org/oclc/7962637"">7962637</a>;<a href=""http://www.worldcat.org/oclc/299563561"">299563561</a>;<a href=""http://www.worldcat.org/oclc/77405512"">77405512</a>",1826-1948; Ã‰tats-Unis; QuÃ©bec,,,,,,,,,,,356,"QueÌbec City, QueÌbec",,,,,,Le Canada français... - Université Laval;Le Canada français... sur Google Books,,,,,https://francolibrary.com/archive/files/a99574d6f042d55732b084287030cd99.jpg,Acculturation and Assimilation;Boston MA;Canada;Detroit MI;Ethnicity and Collective Identity;Fiction and Literature;Language and Linguistics;Literary Works;Literary Works -- Criticism and History;MontrÃ©al QC;Native Americans;New York NY;Nonfiction;Nonfiction -- History -- Labor and Social;QuÃ©bec;Religion;United States
1476,Canada Road artifacts find a home,"Article on the Old Canada Road Historical Society's purchase of an aged home in Bingham, Maine, as a location to publicly display historical artifacts from the upper Kennebec River Valley region.","Cousins, Christopher",,,2010 March 3,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/8818350"">8818350</a>","2010, Bingham, Maine",,,,,,,,,,,,"Bangor, Maine",,,,,Bangor Daily News,http://www.bangordailynews.com/detail/138189.html (full text available here),,,,,,Bingham ME;Boston MA;Emigration and Immigration;Kennebec River Valley;Maine;Massachusetts;Native Americans;QuÃ©bec;Skowhegan ME;Solon ME;War
1477,"Franco-Americans in the Civil War Era, 1861-1865","French Canadians and Franco Americans in the context of the American Civil War. Includes enlistment figures in relation to immigration, as well as population figures around 1860. Considers the short history surrounding the complicated reality of new immigrants fighting in a war for their new country. From the preface: ""This booklet was written in an effort to better acquaint Franco-Americans with their outstanding contribution to American life. Indeed, it is partly up to Canadian historians to reveal this heritage to French Canadaâ€™s often neglected and overlooked diaspora. For too long, Franco-Americans have remained the 'forgotten Americans.' This study seeks to help remedy this unfortunate oversight. 'Franco-Americans in the Civil War Era' is the first booklet in a bilingual series called 'Ã‰tudes sur lâ€™histoire des relations canado-amÃ©ricaines/Studies in the History of Canadian-American Relations' that explores various aspects of the historical relationship between Canada and the United States. The seriesâ€™ goal is to provide the reader with a more holistic understanding of Canadian and American history.""","BÃ©langer, Damien-Claude ",Full text,Self-published,2001,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/48900085"">48900085</a>",1861-1865; United States,,,,,,,,,,,44,"MontreÌal, QueÌbec",,,0968926800,,,http://faculty.marianopolis.edu/c.belanger/quebechistory/frncdns/studies/dcb/default.htm (full text available here) ;Franco-Americans in the Civil War Era... @ Google Books,1,,,,https://francolibrary.com/archive/files/56dfa1a1610fa59f15de1d728f5a2536.jpg,Acculturation and Assimilation;Emigration and Immigration;Ethnicity and Collective Identity;Government and Politics;New England;Nonfiction;Nonfiction -- Government and Politics;Nonfiction -- History -- General;Religion;United States;US Midwest;War
1478,Yeast,"A collection of writings in cultural studies, compiled for a University of Maine course in English composition. Available at the Franco-American Centre, Orono, Maine.","Mitchell, Paige (editor)",,Bedford/St. Martin's,2009,"Alexie, Sherman;AnzaldÃºa, Gloria;BÃ©liveau, SÃ©vÃ©rin;Perillo, Lucia;Petrunkevitch, Alexander;Pratt, Mary Louise;Reed, Ishmael;Roberts, Paul;Said, Edward",English,,,,Book,,,,,,,,,,,,,73,"Boston, Massachusetts",,,9780312685465,,,http://bedfordstmartins.com,,,,,https://francolibrary.com/archive/files/7d549e489adbf7c0ab33c2312bc18726.jpg,Education;Essay;Ethnicity and Collective Identity;Gender and Sexuality;Government and Politics;Great Britain;Illness;Language and Linguistics;Latin America;Lewiston ME;Maine;Native Americans;Peru;Poetry;Rumford ME;Texas;United States
1479,Mestisaje,"A collection of writings in a cultural studies reader, introduced with an essay from the instructor. Compiled for a University of Maine course in English composition. Available at the Franco-American Centre, Orono, Maine.","Mitchell, Paige (editor)",,Bedford/St. Martin's,2010,"Alexie, Sherman;AnzaldÃºa, Gloria;BÃ©liveau, SÃ©vÃ©rin;Jackson, Shirley;Pollitt, Katha;Pratt, Mary Louise;Said, Edward;Sanchez, George J.;Sanger, Margaret;Tompkins, Jane",English,,,,Book,,,,,,,,,,,,,100,,,,9780312602550,,,http://bedfordstmartins.com,,,,,https://francolibrary.com/archive/files/e8494f6cf25e4dca8e625b4f6dd9ce49.jpg,Essay;Ethnicity and Collective Identity;Fiction and Literature;France;Gender and Sexuality;Hispanic Americans;Language and Linguistics;Lewiston ME;Los Angeles CA;Maine;Mexican Americans;Native Americans;Peru;Poetry;Religion;Rumford ME;Texas;United States
1480,Readings for Writers,"A collection of writings in a cultural studies reader, introduced with an essay from the instructor. Compiled for a University of Maine course in English composition. Available at the Franco-American Centre, Orono, Maine.","Mitchell, Paige (editor)",,,2011,"Alexie, Sherman;Allport, Gordon;Alvarez, Julia;Angier, Natalie;AnzaldÃºa, Gloria;Asch, Solomon E.;Atwood, Margaret;Chopin, Kate;Cisneros, Sandra;Dahl, Roald;Dickinson, Emily;Dunbar, Paul Laurence;Faulkner, William;Hine, Lewis W.;Kincaid, Jamaica;LabbÃ©, Yvon ;Notman, William McFarlane;Riis, Jacob A.;Thurber, James;Wood, Grant",English,,,,Book,,,,,,,,,,,,,106,"Boston, Massachusetts",,,9781457602344,,,http://bedfordstmartins.com,,,,,https://francolibrary.com/archive/files/002177e631f047df3b69345601105a10.jpg,Art and Architecture;Community: Customs and Social Life;Essay;Ethnicity and Collective Identity;Family;Fiction and Literature;Gender and Sexuality;Hispanic Americans;Maine;Native Americans;Poetry;United States
1481,The Voice of Maine,"A collection of oral history portraits from around the state of Maine. Introduction written by Marshall Dodge, and foreword from Robert Coles. From the text: "" 'The Voice of Maine' offers an extraordinary glimpse into the heart and soul of the people of Maine. From an unknown lobsterman's wife to the famous Nearings of Harborside, from northern woods to coastal towns, the perceptive interviews of Bill Pohl and the outstanding photographs of Abbie Sewall present a remarkable State, and its even more remarkable residents, in honest, close-up portraits that captivate as well as entertain and inform. For millions Maine is a special place, and here both ordinary and well-known people speak openly and clearly about what they find here, how they live, and make a living, far removed from modern urban society.""","Pohl, William;Sewall, Abbie (photographs)",,Thorndike Press,1983,"Bates, Danny;Cirone, Jeannie;Coe, Charles;Coperthwaite, William;Davis, Stinson;Dodge, Huston;Gorman, Leon;Kelley, Ransom;Lambert, Edward;Lane, Rosa;Larrabee, Alexander;Larrabee, Keith;Levasseur, Nelson;Morse, John;Nearing, Helen;Nearing, Scott;Newell, Robert;Orr, H. Franklin ;Ridgewell, Laura ;Raynes, Alton ;Sanders, Harry, III;Shew, William ;Stanley, Don ;Tibbetts, Donald ",en,,,,Book,"<a href=""http://www.worldcat.org/oclc/9574985"">9574985</a>","1983, Maine",,,,,,English,,,,,201,"Thorndike, Maine",Thorndike Press,,9780896210752,,,The Voice of Maine @ Google Books,,,,,https://francolibrary.com/archive/files/953b18fbead292025a8ea976e94fc7b7.jpg,Bailey Island ME;Bath ME;Bucks Harbor ME;Community: Customs and Social Life;Damariscotta ME;Family;Fishing;Five Islands ME;Forestry;Greenville ME;Harborside ME;Maine;Manana Island ME;Millinocket ME;Native Americans;New Sweden ME;Nonfiction;Nonfiction -- History -- Documentary;North Whitefield ME;Orland ME;Orr's Island ME;Owl's Head ME;Penobscot River Valley;Personal History: Biography and Oral History;Pleasant Point ME;Portland ME;Robinhood ME;Rockport ME;Social History;South Addison ME;South Bristol ME;Sports and Leisure;Stonecutting;Stonington ME;West Point ME;Winnegance ME
1482,The General Textile Strike of 1934 : From Maine to Alabama,"An account of 1934's nationwide textile strike in the United States. The trend of unionization that preceded the strike, and the strike's lasting impact on labor and industry in the United States. A specific focus on the impact of this strike in the industrial pockets of the New England states - often overshadowed by the arguably more widespread effect of labor unrest on life and industry in the American South.  Includes a case study of Burlington, North Carolina, and the textile mills of Burlington Industries. From University of Missouri Press: ""In January 1933, the United Textile Workers of America was in danger of collapse. Its membership was no larger than 15,000; its attempts to organize southern workers had failed disastrously; and it was constantly under attack from rival organizations. Yet, barely eighteen months later, with 300,000 dues-paying members, with newly established or revived branches covering southern cotton textile workers, as well as northern woolen and worsted workers, silk and jacquard weavers, dyers and finishers, even rayon workers, and with locals in 208 cities, towns, and mill villages, UTW was about to embark on what one historian has termed 'the greatest single industrial conflict in the history of American labor.' 'The General Textile Strike of 1934' is the story of that conflict....In 'The General Textile Strike of 1934,' John Salmond tells everyone's story. Looking at the strike from a national and an industrywide perspective, Salmond explains why workers were willing to risk protesting and describes the differences and similarities between southern and northern workers. Setting the strike within a New Deal context and focusing on its impact on the future of labor relations in the industry and on the lives of those who participated in it, 'The General Textile Strike of 1934' fills an important gap in American labor history.""","Salmond, John",Preview,University of Missouri Press,2002,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/56424876"">56424876</a>",1930s; United States,,,,,,,,,,,295,"Columbia, Missouri",University of Missouri Press,,9780826263421,,,The General Textile Strike of 1934... @ Google Books,,,,,https://francolibrary.com/archive/files/0c64d1b45984e0cdd8593b71976e2281.jpg,Alabama;Augusta ME;Biddeford ME;Burlington NC;Burlington VT;Business and Economics;Community: Customs and Social Life;Connecticut;Danielson CT;Dighton MA;Easthampton MA;Ethnicity and Collective Identity;Fall River MA;Georgia;Government and Politics;Greenville SC;Hogansville GA;Irish Americans;Italian Americans;Labor History;Lawrence MA;Lewiston ME;Ludlow MA;Maine;Massachusetts;Mills and Mill Work;New Bedford MA;New England;New Hampshire;Newman GA;Nonfiction;Nonfiction -- History -- Economic and Industrial;Nonfiction -- History -- Labor and Social;North Carolina;Pennsylvania;Philadelphia PA;Polish Americans;Portuguese Americans;Putnam CT;Rhode Island;Saco ME;Saylesville RI;Scottish Americans;Social History;South Carolina;Tennessee;Vermont;Violence;Virginia;Willimantic CT;Woonsocket RI
1483,Kerouac's Nashua Connection,"A genealogical and literary excavation of the roots of Jack Kerouac's family in Nashua, New Hampshire. Historical and literary scholarship on both Nashua and Kerouac, accompanied by the author's thoughts on family and culture, illustrated with some photos of Nashua. From Transition Publishing: "" 'A fascinating journey back to Jack Kerouac's roots - Stephen Edington has undertaken an exhaustive research into the origins of the Kerouac family, unearthing a vast quantity of previously unknown information and relating his findings to Kerouac's own writings...' - Dave Moore""","Edington, Steve ",,Transition Publishing,1999,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/43208165"">43208165</a>","19th century - 20th century, Nashua, New Hampshire",,,,,,English,,,,,102,"Nashua, New Hampshire",Transition Publishing,,9780965449762,,,"<a href=""http://www.thirdmindbooks.com/store/1216.htm"">http://www.thirdmindbooks.com/store/1216.htm</a>",,,,,https://francolibrary.com/archive/files/3c31a54309072d33db27ba5365f1eb97.jpg,Death and Disaster;Emigration and Immigration;Family;Fiction and Literature;France;Genealogy;Literary Works -- Criticism and History;Lowell MA;Nashua NH;New York NY;Personal History: Biography and Oral History;QuÃ©bec;Religion;Travel and Movement
