title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
"""I Learned Things Today That I Never Knew Before"": Oral History at the Kitchen Table","Historiographical essay on the dearth and fragmentation of source material relevant to working class Franco Americans - especially Franco American women. Considers the published reality that is ""la survivance"" in relation to the lived realities of working-class Americans in the twentieth century. Arguing that oral history is unique in its ability to stand for identities that have been largely overlooked, the author conducts interviews with second-generation Franco American women in order, as she says, ""to recover a history that conventional sources find difficult to access.""","DeRoche, Celeste",,,1996 December,,English,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1793844"">1793844</a>;<a href=""http://www.worldcat.org/oclc/45954894"">45954894</a>","20th century, Westbrook, Maine",,,,,,,,,,,,,,0094-0798,,2,The Oral History Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/3675849"">http://www.jstor.org/stable/3675849</a></div>",23,,,,https://francolibrary.com/archive/files/b63c787b1fbe09d81d0f57dbcff849b1.jpg,Community: Customs and Social Life;Emigration and Immigration;Ethnicity and Collective Identity;Family;Frenchtown ME;Gender and Sexuality;Gorham ME;Government and Politics;Labor History;Maine;Mills and Mill Work;Personal History: Biography and Oral History;Religion;Social History;Westbrook ME,Journal Articles | Articles dans revues académiques
"Contras, Squares & Rounds : Fiddling the Night Away at Local Dances","Article compiled from oral history interviews of Vermont musicians in the twentieth century. Featured in the Vermont Folklife Center's annual publication, ""Visit'n."" From the Vermont Historical Society: ""Includes reminisces by Franco-American fiddler Camile Dubois, Wallace Coburn talking about fiddler Alfred 'Crazy' Chase, and musician Harold Luce.""","Sharrow, Gregory L.",,,2002-11-00,"Dubois, Camile;Coburn, Wallace;Luce, Virgilio",en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/36559489"">36559489</a>",20th century; Vermont,,,,,,,,,,,,,,,,,Visit'n: Conversations with Vermonters,"<div class=""element-text""><a href=""http://vermontfolklifecenter.org/multimedia/voices/index.htm"">http://vermontfolklifecenter.org/multimedia/voices/index.htm</a></div>",8,,,,https://francolibrary.com/archive/files/1989ecf601e9b49c2deb4d73525101a9.jpg,Community: Customs and Social Life;Ethnicity and Collective Identity;Folklore;Music;Nonfiction;Nonfiction -- History -- Documentary;Nonfiction -- History -- Labor and Social;Nonfiction -- History -- Local;Performing Arts;Personal History: Biography and Oral History;Social History;Vermont,Journal Articles | Articles dans revues académiques
"La langue française au défi de la diversité, par l'expérience de la minorité : le français, langue régionale de Louisiane","De l'auteur: ""Ce texte porte sur la langue française telle qu'elle se parle en Louisiane depuis priès de quatre siiècles. Apriès un bref rappel de ses sources (français hexagonal, créole, acadien, etc), l'auteur s'intéresse aux efforts de revitalisation de la langue française à  partir des années 1960. Depuis une cinquantaine d'années, l'école a pris le relais de la famille comme principal lieu de transmission de la langue française, ce qui n'est pas sans représenter un certain nombre de défis en ce qui a trait à  la nature du français à  enseigner.""","Cerquiglini, Bernard ",Texte intégral,,2010-10,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/163640790"">163640790</a>",2010; Louisiane,,,,,,,,,,,,,,1769-7425,,,Glottopol: Revue de sociolinguistique en ligne,"<div class=""element-text""><a href=""http://www.univ-rouen.fr/dyalang/glottopol/numero_16.html"">http://www.univ-rouen.fr/dyalang/glottopol/numero_16.html</a></div>",16,,,,https://francolibrary.com/archive/files/424201932921c3865de5d7d9fb37fa41.jpg,Acadians;Acculturation and Assimilation;Community: Customs and Social Life;Education;Emigration and Immigration;Ethnicity and Collective Identity;France;Language and Linguistics;Louisiana;Maine;New Orleans LA;Nonfiction;Nonfiction -- Language and Linguistics,Journal Articles | Articles dans revues académiques
Les noms de famille du Canada français : origines et évolution,"De l'introduction: ""La grande majorité des noms de famille du Québec à  l'heure actuelle sont d'origine française, et on en trouve aussi un grand nombre en Acadie. Hormis les Huguenots qui se sont établis ici et là  aux Etats-Unis aux XVIIe et XVIIIe siiècles, c'est à  partir de ces deux grandes régions que les noms francophones se sont répandus à  travers l'Amérique. Dans la plupart des cas, ils sont les produits des patronymes que portaient les immigrants qui se sont établis en Nouvelle-France au début de la colonie. Au bout de quelque 400 ans, il n'est pas étonnant de retrouver des différences importantes tant au niveau linguistique que distributionnel entre les noms de famille que l'on retrouve en France et ceux du Nouveau Monde. En effet, on peut soutenir que la divergence entre les deux fait de la recherche onomastique en Amérique du nord un domaine tout à  fait indépendant qui, étonnamment, n'a reçu que triès peu de considération si on compare tout le temps et l'effort qui ont été consacrés à  l'étude généalogique de ces noms.""","Picard, Marc",Texte intégral,,2007-01,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/163640790"">163640790</a>",21e siiècle; Amérique du nord,,,,,,,,,,,,,,1769-7425,,,Glottopol: Revue de sociolinguistique en ligne,"<div class=""element-text""><a href=""http://www.univ-rouen.fr/dyalang/glottopol/numero_9.html (le texte en plein)"">http://www.univ-rouen.fr/dyalang/glottopol/numero_9.html</a> (le texte en plein)</div>",9,,,,https://francolibrary.com/archive/files/c7255ea247969f6bc6dd780fecabd706.gif,Acculturation and Assimilation;Canada;Family;France;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics;Québec;United States,Journal Articles | Articles dans revues académiques
The Origins and Development of French-Canadian Family Names,"From the author:""Although most French-Canadian surnames bear a strong resemblance to those found in France today, many have undergone various types of orthographical and phonological alterations which make them unique in the French-speaking world. Further contributing to this singularity is the admixture of a substantial number of French names from other countries (Belgium, Switzerland) as well as non-French names from France (Basque Country, Brittany, Alsace-Lorrain) and elsewhere (Germany, Ireland, United States, Spain, etc.) This article is an attempt to provide an account of the origins and development of this amalgam of family names.""","Picard, Marc",,,2003-09,,en; fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1645764"">1645764</a>",21st century; North America; Europe,,,,,,,,,,,,,,0078-463X,,,Onoma,"<div class=""element-text""><a href=""http://poj.peeters-leuven.be/content.php?url=article.php&amp;id=2002557&amp;journal_code=ONO"">http://poj.peeters-leuven.be/content.php?url=article.php&amp;id=2002557&amp;journal_code=ONO</a></div>",38,,,,https://francolibrary.com/archive/files/6d7d56c090f1b6de7eb067edd83d2044.jpg,Acculturation and Assimilation;Belgium;Canada;Family;France;Genealogy;Germany;Ireland;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics;Québec;Spain;Switzerland;United States,Journal Articles | Articles dans revues académiques
The Name of DeRose : Translations of French family names into English,"Article in the official journal of the Canadian Society for the Study of Names (formerly ""Onomastica""). Features scholarship on name transition and translation, with a particular emphasis on these processes as they work through French Canadian names in the state of Vermont.","Whitebrook, Susan",,,1994-06,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/2240808"">2240808</a>",20th century; Vermont,,,,,,,,,,,,,,0078-4656,,1,Onomastica Canadiana,"<div class=""element-text""><a href=""http://geonames.nrcan.gc.ca/info/cssn_onomastica_e.php"">http://geonames.nrcan.gc.ca/info/cssn_onomastica_e.php</a></div>",76,,,,,Acculturation and Assimilation;Family;Genealogy;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics;Vermont,Journal Articles | Articles dans revues académiques
The Greener Pastures of the Green Mountain State: John Louis Rainville Recalls Growing up on a Border-Area Farm in Northern Vermont,"Article compiled from an oral history interview with a resident of the town of Highgate, Vermont, situated in a rural part of the state near to the US border with Canada. Featured in the Vermont Folklife Center's annual publication, ""Visit'n.""","Sharrow, Gregory L.",,,2001 November,"Rainville, John Lewis",English,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/36559489"">36559489</a>","20th century, Vermont",,,,,,,,,,,,,,,,,Visit'n: Conversations with Vermonters,"<div class=""element-text""><a href=""http://vermontfolklifecenter.org/multimedia/voices/index.htm"">http://vermontfolklifecenter.org/multimedia/voices/index.htm</a></div>",7,,,,https://francolibrary.com/archive/files/3f1616d8d22bb7854ebb7f4112a158b2.jpg,Canada;Ethnicity and Collective Identity;Family;Farming and Agriculture;Folklore;Highgate VT;Personal History: Biography and Oral History;Vermont,Journal Articles | Articles dans revues académiques
Transplanting Traditions: The Pellerin Sisters Share Perspectives on the Experience of Preserving Their French Canadian Heritage,"Article compiled from oral history interviews with two sisters of the Pellerin family in Highgate, Vermont. Featured in the Vermont Folklife Center's annual publication, ""Visit'n.""","Sharrow, Gregory L.",,,2001 November,"Drury, Martha Pellerin;Santamore, Suzanne Pellerin",English,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/36559489"">36559489</a>","20th century, Vermont",,,,,,,,,,,,,,,,,Visit'n: Conversations with Vermonters,"<div class=""element-text""><a href=""http://vermontfolklifecenter.org/multimedia/voices/index.htm"">http://vermontfolklifecenter.org/multimedia/voices/index.htm</a></div>",7,,,,https://francolibrary.com/archive/files/f478f7a92713e7fba453af693780b04f.jpg,Ethnicity and Collective Identity;Family;Folklore;Highgate VT;Personal History: Biography and Oral History;Vermont,Journal Articles | Articles dans revues académiques
"L'émigration des Canadiens français vers les États-Unis, 1790-1940 : problématique et coups de sonde","Analyse sur l'émigration canadien-français aux États-Unis en mémoire de l'oeuvre d'Albert Faucher, et utilisant des donnees économiques dans la région nord-est pour tenter d'expliquer les schémas de migration correspondantes.","Paquet, Gilles;Smith, Wayne R.",Texte intégrale,,1983-09,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/113277240"">113277240</a>",1790-1940; Canada; Etats-Unis,,,,,,Français,,,,,,,,0001-771X,,3,L'Actualité économique,"<div class=""element-text""><a href=""http://www.erudit.org/revue/ae/1983/v59/n3/601059ar.html?vue=resume"">http://www.erudit.org/revue/ae/1983/v59/n3/601059ar.html?vue=resume</a></div>",59,,,,https://francolibrary.com/archive/files/f8a04fa519bc016ca4510d5e2e3f0e56.jpg,Burlington VT;Business and Economics;Demography;Emigration and Immigration;Farming and Agriculture;Great Lakes Region;Labor History;Michigan;Mississippi River Valley;New England;Nonfiction;Nonfiction -- Immigration;Ohio;Québec;Social History;St. Albans VT;United States;Vermont;Wisconsin,Journal Articles | Articles dans revues académiques
N'importe quelle route,"Un revue/bulletin bilingue de la littérature et la culture, publié par le Club Jack Kérouac de Québec, Québec. Les premiers numéros contiennent des écrits sur et inspirés par la vie et l'oeuvre de Jack Kérouac, aussi que des photos et des lettres de l'auteur franco-américain lui-même. Les numéros plus tard sont composés de l'art et des oeuvres littéraires plus largement culturels. La publication a commencée comme préoccupation avec la façon dont un historique de Jack Kerouac et son patrimoine culturel sont impliqués dans ses écrits. Alternativement sous-titrée, ""Bulletin du Club Jack Kérouac"" et ""Revue de l'américanité québécoise: création, littérature, espace, société.""  Bilingual journal of literature and culture published by le Club Jack Kérouac of Québec, Québec. Early issues feature writings about and inspired by the life and works of Jack Kerouac, while later issues incorporate art and literary works more broadly interpretive. The publication began as a concern for how Jack Kerouac's historical background and cultural heritage figure into his writings. Alternately subtitled, ""Bulletin du Club Jack Kérouac"" and ""Revue de l'américanité québécoise: création, littérature, espace, société.""","Desbiens, Patrice (rédacteur/editor);Dupont, Louis (rédacteur/editor);Ferland, Rémi (rédacteur/editor);Paquin, Nicole (rédacteur/editor);Waddell, Eric (rédacteur/editor);Wicht, Serge (rédacteur/editor)",,,1987-1989,,Français and English,,,,Journal,,"1987-1989, Québec, New England",,,,,,Français and English,,,,,,,,0845-7336,,1.1,N'importe quelle route,,"1, 2, 3",,,,https://francolibrary.com/archive/files/255345f889123d3e303ff35ebe5ca8e6.jpg;https://francolibrary.com/archive/files/580d138e5d46a6020d8b8f5d65ec8da7.jpg;https://francolibrary.com/archive/files/4633ca18527d99fef31b01c5890f70c6.jpg;https://francolibrary.com/archive/files/0323768a4f6df6447c0bc628eaca43f2.jpg;https://francolibrary.com/archive/files/8a692e91bfa30000bed0e5d79c766013.jpg;https://francolibrary.com/archive/files/f40e9c1f8f2aa0be7f472c288f1e79ca.jpg,Art and Architecture;Criticism and Review;Fiction and Literature;Lowell MA;New England;Poetry;Québec,Journal Articles | Articles dans revues académiques
Contes Populaires Canadiens (Quatriième Série),"Une sélection de contes populaires (24) issus de la collection d'un folkloriste canadiens-français en Nouvelle-Angleterre au 19e siiècle: Adélard Lambert. Des contes tels qu'ils ont été racontés par M. Lambert ou des membres de sa famille, ainsi que des contes de deux autres conteurs: Alexandre Poudrier et M. Bernier. Histoires brièves de l'émigration de ces trois conteurs du Québec vers les ètats-Unis.Comprend les contes suivants: De la famille LAMBERT: ""Les trois petits moutons"" ""La tuque percée"" ""Madeleine et l'ogre de la forêt"" ""Morvette"" ""L'abeille et le crapaud"" ""L'aiguille qui parle"" ""La bonne Madeleine"" ""Le queteux"" ""Le Petit-Poucet"" ""Jacquot"" ""Jean-le-sot"" ""Richard-sans-Peur"" ""Rendez-moi ma bourse"" ""Le coq, le cochon et le boeuf"" ""Les cornes d'or"" ""La Belle et la Laide"" D'Alexandre POUDRIER: ""Quatre-poils-d'ors-dans-l'dos"" ""Les deux voisins"" ""Le veau vendu trois fois"" ""Pauvreté et misière"" De M. BERNIER: ""Jean-Ratoureux"" ""Le Petit bonnet rouge"" ""Le dragon et les nains"" ""Les trois rechanges""","Lanctot, Gustave",Preview (JSTOR),,1923-07-00,"Lambert, Adélard",fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1782260"">1782260</a>;<a href=""http://www.worldcat.org/oclc/51205291"">51205291</a>",19e siiècle; Nouvelle-Angleterre,,,,,,,,,,,,,,0021-8715,,141,The Journal of American Folklore,"<div class=""element-text""><a href=""http://www.jstor.org/stable/534992"">http://www.jstor.org/stable/534992</a></div>;<div class=""element-text""><a href=""http://www.afsnet.org/?page=JAF"">http://www.afsnet.org/?page=JAF</a></div>",36,,,,https://francolibrary.com/archive/files/24b908a8c50bf394f0b5a2c29a887389.jpg,Albion RI;Emigration and Immigration;Fall River MA;Family;Folklore;Manchester NH;Warren RI;Woonsocket RI;Youth,Journal Articles | Articles dans revues académiques
The Collection of Folk-Song,"Short article imploring American folklorists to begin recording the non-English songs and stories of immigrant communities in the United States. Contains music excerpts from three French Canadian songs recorded in New England: ""La belle Canadienne"" (Marlboro, Massachusetts), ""Old Canadian French Song"" (Westminster, Massachusetts), and ""La fille blonde"" (Beecher Falls, Vermont).","Barry, Phillips",Full text,,1914-01-00,,English,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1782260"">1782260</a>;<a href=""http://www.worldcat.org/oclc/51205291"">51205291</a>",1914; New England,,,,,,,,,,,,,,0021-8715,,103,The Journal of American Folklore,"<div class=""element-text""><a href=""http://www.jstor.org/stable/534797"">http://www.jstor.org/stable/534797</a></div>;<div class=""element-text""><a href=""http://www.afsnet.org/?page=JAF"">http://www.afsnet.org/?page=JAF</a></div>",27,,,,https://francolibrary.com/archive/files/b36c1ff7a6839266d24b0df601472cec.jpg,Beecher Falls VT;Cambridge MA;Folklore;Marlboro MA;Music;New England;Westminster MA,Journal Articles | Articles dans revues académiques
"Henriette, la capuche : The Portrait of a Frontier Midwife","Article on Henriette Blier Pelletier and her lifelong commitment to midwifery. A Québec-born transplant to the Madawaska Territory and the St. Luce Parish - later to be called Frenchville, Maine. Pelletier helped to deliver the children of rural women in their homes, with methods and skills learned through apprenticeship, around the turn of the century. Explanations of medical procedures, folk medicines, and other folk practices used by Pelletier and others in the region, as gleaned from oral history interviews with women in the St. John Valley.","Paradis, Roger",,,1983 Spring,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/60628349"">60628349</a>","19th century - 20th century; Frenchville, Maine",,,,,,,,,,,,,,9739-3759,,1,Québec Studies,"<div class=""element-text""><a href=""http://www.acqs.org/qc_studies_journal/table_of_contents.html"">http://www.acqs.org/qc_studies_journal/table_of_contents.html</a></div>",1,,,,https://francolibrary.com/archive/files/98763cdca3c02826b10383e0ea97e453.jpg,Folklore;Frenchville ME;Gender and Sexuality;Health and Wellness;Maine;Nonfiction;Nonfiction -- Science and Medicine;St. John River Valley,Journal Articles | Articles dans revues académiques
